"variable" "value" "group" "Succession" "Succession_numeric" "Community"
"209" "GH18" 0.462254424577333 "GH" "Managed" 1 "Fungi"
"210" "GH18" 0.821364832816792 "GH" "Managed" 1 "Fungi"
"211" "GH18" 0.903258860154763 "GH" "Managed" 1 "Fungi"
"212" "GH18" 0.864645206120274 "GH" "Managed" 1 "Fungi"
"213" "GH18" 0.826668662907502 "GH" "Managed" 1 "Fungi"
"214" "GH18" 0.926446719781506 "GH" "Managed" 1 "Fungi"
"215" "GH18" 0.917384406058605 "GH" "Managed" 1 "Fungi"
"216" "GH18" 0.86465761170592 "GH" "Managed" 1 "Fungi"
"217" "GH3" 0.780196333393342 "GH" "Managed" 1 "Fungi"
"218" "GH3" 0.906447169550262 "GH" "Managed" 1 "Fungi"
"219" "GH3" 0.998729190152823 "GH" "Managed" 1 "Fungi"
"220" "GH3" 0.967768136948733 "GH" "Managed" 1 "Fungi"
"221" "GH3" 0.947814649146112 "GH" "Managed" 1 "Fungi"
"222" "GH3" 0.867712998609969 "GH" "Managed" 1 "Fungi"
"223" "GH3" 0.942411806222329 "GH" "Managed" 1 "Fungi"
"224" "GH3" 0.932893205003932 "GH" "Managed" 1 "Fungi"
"225" "GH3" 0.863590984883726 "GH" "Managed" 1 "Fungi"
"226" "GH3" 0.962665513181138 "GH" "Managed" 1 "Fungi"
"227" "GH3" 0.947641953219032 "GH" "Managed" 1 "Fungi"
"228" "GH3" 0.913298399253092 "GH" "Managed" 1 "Fungi"
"229" "GH3" 0.926781433236286 "GH" "Managed" 1 "Fungi"
"230" "GH3" 0.855206358018781 "GH" "Managed" 1 "Fungi"
"231" "GH3" 0.934512028788043 "GH" "Managed" 1 "Fungi"
"232" "GH3" 0.969315173857862 "GH" "Managed" 1 "Fungi"
"233" "GH3" 0.516615255794209 "GH" "Managed" 1 "Fungi"
"234" "GH3" 0.92338197039735 "GH" "Managed" 1 "Fungi"
"235" "GH3" 0.845468714686153 "GH" "Managed" 1 "Fungi"
"236" "GH3" 0.808776363363122 "GH" "Managed" 1 "Fungi"
"237" "GH3" 0.775456941988082 "GH" "Managed" 1 "Fungi"
"238" "GH3" 0.872313480134592 "GH" "Managed" 1 "Fungi"
"239" "GH3" 0.908706266916721 "GH" "Managed" 1 "Fungi"
"240" "GH3" 0.780393806039979 "GH" "Managed" 1 "Fungi"
"241" "GH43_26" 0.828188733671702 "GH" "Managed" 1 "Fungi"
"242" "GH43_26" 0.919510679404462 "GH" "Managed" 1 "Fungi"
"243" "GH43_26" 0.989480900548262 "GH" "Managed" 1 "Fungi"
"244" "GH43_26" 0.967222821046074 "GH" "Managed" 1 "Fungi"
"245" "GH43_26" 0.939854586213746 "GH" "Managed" 1 "Fungi"
"246" "GH43_26" 0.871846408117594 "GH" "Managed" 1 "Fungi"
