"shannon_bacteria" "Sample" "shannon_fungi" "cazyme_div_bacteria" "cazyme_div_fungi" "pcyc_div_bacteria" "pcyc_div_fungi" "ncyc_div_bacteria"
"140" 5.738773449294 "Sample_142" 3.96358831835834 NA NA NA NA NA
"141" 6.21005534580675 "Sample_143" 2.84737848215053 3.53390364708402 3.11361334622898 4.06473811679593 3.20576554991593 2.83982183631271
"142" 5.82822128991599 "Sample_144" NA 3.53752351922354 3.3707907965688 4.04422933346616 3.26947341489694 2.78536223432883
"143" 5.45480735325764 "Sample_145" 3.41126083806915 3.3925068123511 2.96396807241288 4.05775829908749 3.14959059703323 2.47827796917877
"144" 5.26624035846518 "Sample_147" NA NA NA NA NA NA
"145" 4.81626639015617 "Sample_148" NA NA NA NA NA NA
"146" 5.5963776247182 "Sample_149" 1.83264823008197 3.51904161558601 3.28808664956007 4.06600541700879 3.19132065623442 2.54261706178289
"147" 6.19607474134401 "Sample_150" 3.7272021277909 3.54860142467008 2.87458113751841 4.04988076256484 3.16615774506761 2.95999127302357
"148" 5.67664250731452 "Sample_151" 3.75180914066957 3.43762776363562 3.47229014376786 4.04464422457112 3.23144432232715 2.36837599811024
"149" 6.09824048574174 "Sample_152" 2.9834284023168 3.55309660805056 2.91393031603685 4.05355428852548 3.26307112076738 2.97556358114742
"150" 5.27654208355432 "Sample_153" 3.97323420167377 NA NA NA NA NA
"151" 5.84312859903315 "Sample_154" 2.26497877443961 NA NA NA NA NA
"152" 4.97114617158654 "Sample_155" 2.89566917570872 3.48206544553399 3.6907049083423 4.06236799973562 3.23177289521039 2.47146930077071
"153" 5.44127860577771 "Sample_156" 4.05997307476411 3.45949453312781 3.36127682124014 4.06044070985633 3.24250325559361 2.60936666054183
